PLEDGE_ID;ACQUISITIONDATE;PC6
1;2/9/2022;3067KE
2;7/16/2019;2061EK
3;8/18/2020;3583TW
4;11/10/2022;4834XC
5;12/13/2018;7941XK
6;8/23/2018;3448EE
7;8/21/2018;1824JH
8;10/4/2018;9481GE
9;6/25/2019;3997MZ
10;9/27/2019;8105AR
11;3/14/2019;6981CG
12;7/23/2021;1035KM
13;7/4/2022;5042PV
14;8/18/2022;3255NB
15;8/5/2022;4533EA
16;11/14/2022;4384NK
17;8/23/2018;7313BN
18;12/30/2021;3584ZW
19;11/3/2022;1077PP
20;9/22/2021;8271AB
21;11/29/2018;8017NX
22;4/21/2021;1943DS
23;8/7/2019;4328LA
24;8/31/2022;5263CT
25;4/9/2021;3155GC
26;10/19/2018;3252BG
27;6/30/2022;6816RK
28;6/6/2018;1213LA
29;12/20/2019;2101WN
30;1/25/2019;2105ZE
31;8/16/2018;2162GZ
32;9/21/2018;9001EE
33;5/16/2018;2231JE
34;5/2/2022;5037NA
35;7/21/2020;3069ZP
36;6/29/2018;3315SE
37;10/15/2019;4382EB
38;12/22/2018;2582KP
39;6/6/2019;5345NA
40;10/9/2018;6711RP
41;1/7/2022;6213JC
42;7/27/2019;1701JN
43;12/18/2021;1381BB
44;8/28/2018;2318MC
45;1/4/2020;8303KR
46;10/18/2019;6955BR
47;5/2/2019;6821ES
48;1/10/2022;2333VL
49;2/27/2018;6824PK
50;3/4/2019;6824PK
51;10/28/2022;8051GS
52;3/31/2018;3723DR
53;3/24/2022;5017HC
54;8/24/2018;9831NJ
55;6/17/2022;3571LA
56;11/13/2019;6571AE
57;6/5/2020;3722BC
58;6/15/2022;3722BC
59;11/24/2022;3722BC
60;12/29/2018;4336KL
61;3/5/2022;4731ZV
62;8/29/2018;2317KJ
63;4/21/2018;2585HL
64;11/10/2018;5644TJ
65;10/19/2018;2841NB
66;8/27/2022;5242GR
67;10/29/2019;3264XT
68;3/15/2021;4731EV
69;10/22/2022;1945SL
70;8/15/2018;6932KL
71;10/15/2022;2102AK
72;3/29/2022;2922BB
73;8/28/2019;2361AL
74;8/24/2019;2111WP
75;4/22/2021;5481LT
76;10/1/2019;4691LC
77;6/19/2021;1017VX
