datum,land,type,slachtoffers,publicatie_datum,Nederland_ind,Europe_ind,World_ind,man_made,Marokko_ind,Turkije_ind,Belgie_ind,Duitsland_ind,Indonesie_ind,Polen_ind,Suriname_ind,Oceanie_ind,Afrika_ind,Amerika_ind,Asie_ind
2020-01-05,Amerika,protest,0,1.05.2020,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-01,Verenigde staten,bosbrand,0,1.01.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-08,Italië,brand,2,12.08.2021,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-04-18,Nederland,bosbrand,0,18.04.2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,Haïti,aardbeving,1297,16.08.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022-09-19,Japan,tyfoon,1,19.09.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-31,Filipijnen,tyfoon,405,31.12.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-05-28,Japan,noodtoestand,0,28.05.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2020-04-20,Nederland,bosbrand,0,20.04.2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-13,Verenigde staten,tornado,0,13.12.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2019-04-09,Bahama's,orkaan,7,4.09.2019,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022-07-13,Sri lanka,protesten,0,13.07.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-06-19,Marokko,,0,19.06.2021,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-31,Hongarije,,0,31.03.2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-07,Nederland,,0,6.07.2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03,Oekraïne,oorlog,0,5.03.2022,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-21,Hoorn afrika midden-oosten,sprinkhanenplaag,0,21.05.2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-06,Spanje,bosbrand,0,9.06.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-09,Verenigde staten,noodweer,44,3.09.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-11,Filipijnen,tyfoon,0,1.11.2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2022-12-26,Afghanistan,,0,26.12.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-08-29,Jemen,aanval militaire basis,30,29.08.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2020-06-07,Nederland,pandemie,0,6.07.2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-28,Frankrijk,bosbrand,0,28.07.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-26,Filipijnen,tyfoon,16,26.12.2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2022-09-25,Japan,tyfoon,2,25.09.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2022-12-07,Verenigde staten,bosbrand,0,12.07.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2019-09-14,Mozambique,cycloon,1300,14.09.2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2022-05-25,Hongarije,oorlog,0,25.05.2022,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-08,Frankrijk,bosbrand,0,5.08.2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-26,Griekenland,hittegolf,0,26.07.2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-26,Frankrijk,bosbrand,0,26.07.2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-29,Kroatië,bosbrand,0,29.07.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-30,Afghanistan,,0,30.11.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2022-04-22,Oekraïne,beschietingen,3,22.04.2022,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-10-04,Nederland,brand,0,10.04.2020,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-12-27,Filipijnen,tyfoon,28,27.12.2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-02-08,Myanmar,gezondheidscrisis,0,2.08.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2019-08-14,Nederland,droogte,0,14.08.2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-03,Oekraïne,nucleaire ramp,0,4.03.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-24,Oekraïne,,0,24.03.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-22,Nederland,coronapandemie,0,22.02.2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-18,Oekraïne,beschieting,0,18.08.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-07,Nederland,,0,6.07.2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-15,Oekraïne,schietincident,0,15.08.2022,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-09-26,Nigeria,hongersnood en burgeroorlog,1000000,26.09.2021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2022-08-19,Nederland,bosbrand,0,19.08.2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-12,Samoa,mazelenuitbraak,53,2.12.2019,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2021-05-12,Afghanistan,gezondheidszorginstorting,0,5.12.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-04,Hongarije,noodtoestand,0,2.04.2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-22,Ethiopië,,,22.06.2021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2019-01-07,Ethiopië,vliegramp,157,1.07.2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-05-21,India,cycloon,0,21.05.2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2022-06-09,Oekraïne,nucleaire catastrofe,0,6.09.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-23,Oekraïne rusland turkse stad istanbul turkije verenigde naties,oorlog,0,23.07.2022,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2021-12-07,Irak,brand,52,12.07.2021,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2019-11-10,Japan,tyfoon,0,11.10.2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-11-16,Nederland,,0,16.11.2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-14,Belgie,overstroming,0,14.07.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-31,Verenigde staten,bosbrand,0,31.07.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022-07-15,Turkije,bosbrand,19,15.07.2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2022-10-18,Nigeria,overstromingen,603,18.10.2022,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2021-03-21,Jemen,oorlog,8,21.03.2021,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2019-03-09,Bahama's,orkaan,5,3.09.2019,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2021-05-07,Cyprus,bosbrand,4,5.07.2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-07-17,Frankrijk,bosbrand,0,17.07.2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,Nederland,brand,0,2.06.2020,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-06,Spanje,economische crisis / hongersnood,0,8.06.2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-11,Nederland,schietincident,0,12.11.2020,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-09-03,Oekraïne,luchtaanvallen,5,9.03.2022,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-08,Turkije,bosbrand,8,2.08.2021,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2019-10-24,Chili,onlusten,3,24.10.2019,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2019-10-20,Chili,brand,5,20.10.2019,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
