"Postcode","Year","Week","pledge_count","online_donation_count","Nederland_ind","Europe_ind","World_ind","Marokko_ind","Turkije_ind","Belgie_ind","Duitsland_ind","Indonesie_ind","Polen_ind","Suriname_ind","Oceanie_ind","Afrika_ind","Amerika_ind","Asie_ind","pledge_ind","total_donations_count","Nederlandse achtergrond","Afrika","Amerika","Azië","Europa (excl. Nederlandse achtergrond)","Oceanië","België","Duitsland","Indonesië","Marokko","(voormalige) Nederlandse Antillen, Aruba","Polen","Suriname","Turkije","Bevolking"
"1096",2021,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0.55,0.04,0.08,0.1,0.22,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.03,0.02,0.222830699486708
"5615",2019,49,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,4,0.7,0.03,0.04,0.08,0.15,0,0.01,0.02,0.03,0.01,0.01,0.02,0.01,0.02,0.800144433668056
"5611",2019,41,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,7,0.55,0.03,0.06,0.15,0.21,0,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.02,2.10405706965745
"7391",2019,18,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0.89,0.01,0,0.05,0.05,0,0,0.01,0.03,0,0,0,0,0.02,1.79965528254364
"1091",2022,30,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,4,0.44,0.13,0.12,0.09,0.22,0.01,0.01,0.02,0.02,0.09,0.01,0.01,0.06,0.05,2.89946710341841
"7913",2019,31,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0.96,0,0,0.01,0.02,0,0,0.01,0,0,0,0,0,0,0.198338601672954
"2264",2020,49,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.76,0.03,0.05,0.08,0.09,0,0.01,0.02,0.05,0.01,0.01,0.01,0.02,0.01,1.03690137920101
"5809",2022,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.92,0.01,0.01,0.01,0.06,0,0,0.02,0,0,0,0.02,0,0,-0.479276104507578
"3014",2021,30,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0.24,0.26,0.17,0.11,0.21,0,0,0.01,0.01,0.15,0.03,0.01,0.12,0.11,0.833966854458479
"3075",2021,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.51,0.11,0.16,0.06,0.17,0,0.01,0.01,0.01,0.06,0.06,0.02,0.08,0.07,2.16587045937787
